fid,FRRD_NM,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
285,두성(두성-백석),510,5,1,5,4,1713,3.35882352941176,3,1.25817740427288,1,3,2,5,3
286,상리(1),251,5,1,5,4,858,3.41832669322709,3,1.23861459879465,1,3,3,4,1
287,가은-완장(2),74,5,1,5,4,269,3.63513513513514,4,1.08521170340075,2,4,3,4,1
288,가은-완장(3),60,5,1,5,4,215,3.58333333333333,4,1.29475437396013,2,4,3,4.5,1.5
289,가은-완장(옷나무골),96,5,1,5,4,335,3.48958333333333,4,1.18140798473215,1,4,3,4,1
290,가은-완장(1),144,5,1,5,4,527,3.65972222222222,4,1.0551671434504,2,4,3,4,1
291,옥녀봉,565,5,1,5,4,2008,3.55398230088496,4,1.0739090284827,1,4,3,4,1
292,일직-용각,415,5,1,5,4,1233,2.9710843373494,3,1.34043061957688,1,2,2,4,2
293,용각-어담,499,5,1,5,4,1588,3.18236472945892,3,1.3417937397822,1,3,2,4,2
294,묘봉(2),266,5,1,5,4,778,2.92481203007519,3,1.00468122464967,5,3,2,4,2
295,금바골(2),224,5,1,5,4,534,2.38392857142857,2,1.06691758714303,5,2,2,3,1
296,비룡산(2),77,4,2,5,3,259,3.36363636363636,3,0.938485805981281,5,3,3,4,1
297,비룡산(3),48,4,2,5,3,168,3.5,4,0.841625411530173,5,4,3,4,1
298,수목원,29,3,2,4,2,99,3.41379310344828,3,0.616846338620632,2,4,3,4,1
299,큰두렁터골(2),269,5,1,5,4,718,2.66914498141264,3,1.18471351350946,5,2,2,3,1
300,장선다터골,253,5,1,5,4,752,2.97233201581028,3,1.02306662182402,5,3,2,4,2
301,다락재(2),150,5,1,5,4,528,3.52,4,0.936091163651632,1,4,3,4,1
302,새목골(2),270,5,1,5,4,889,3.29259259259259,3,1.00716908945814,1,3,3,4,1
303,임하,275,5,1,5,4,637,2.31636363636364,2,0.92927413244055,5,2,2,3,1
304,작은드레박골(3),22,5,1,5,4,76,3.45454545454545,3.5,1.07565086965448,1,3,3,4,1
305,수냄골(2),250,5,1,5,4,671,2.684,3,1.06964667063475,5,2,2,3,1
306,늦재(3),144,5,1,5,4,470,3.26388888888889,3,1.16061592311482,1,3,2,4,2
307,이평(등대골),224,5,1,5,4,671,2.99553571428571,3,1.04153804478017,5,3,2,4,2
308,전곡산불,265,5,1,5,4,772,2.91320754716981,3,1.1243510053979,1,3,2,4,2
309,이평산불,234,5,1,5,4,639,2.73076923076923,3,0.99149904107617,5,3,2,3,1
310,조금산불,234,5,1,5,4,725,3.0982905982906,3,1.07564195946158,1,3,2,4,2
311,길곡-외선미,164,5,1,5,4,531,3.23780487804878,3,0.999163094172665,1,3,3,4,1
312,구산(앞골),242,5,1,5,4,699,2.88842975206612,3,0.922598744532169,5,3,2,3,1
313,삼산산불,175,5,1,5,4,551,3.14857142857143,3,1.01457138834131,1,3,2,4,2
314,갈면산불,7,3,2,4,2,23,3.28571428571429,3,0.699854212223765,2,3,3,4,1
315,다천산불,197,5,1,5,4,624,3.16751269035533,3,1.00625475682143,1,3,2,4,2
316,상당산불,223,5,1,5,4,609,2.73094170403587,3,1.22356624660469,5,2,2,4,2
317,두천산불,120,5,1,5,4,313,2.60833333333333,3,1.11277306261829,5,2,2,3,1
318,소광(대왕송),567,5,1,5,4,1833,3.23280423280423,3,1.03319664676264,1,3,2,4,2
319,큰신기골,166,5,1,5,4,519,3.12650602409639,3,1.19825016368995,1,3,2,4,2
320,방목이골,48,5,1,5,4,170,3.54166666666667,4,0.956520023604083,1,4,3,4,1
321,석문동,74,5,1,5,4,257,3.47297297297297,4,1.10555077349846,1,4,3,4,1
322,장기바위골,84,5,1,5,4,331,3.94047619047619,4,0.850086696925819,1,4,3,5,2
323,중봉골,62,5,1,5,4,232,3.74193548387097,4,1.19049303788683,1,5,3,5,2
324,구수골,161,5,1,5,4,556,3.45341614906832,4,1.08031689944084,1,4,3,4,1
325,개단(축서사2),316,5,1,5,4,946,2.99367088607595,3,1.07619133541309,5,3,2,4,2
326,옛터골,127,5,1,5,4,356,2.80314960629921,3,1.0798029134748,5,3,2,4,2
327,우곡-도심(2),186,5,1,5,4,515,2.76881720430108,3,1.11937756269994,5,2,2,4,2
328,우곡1,218,5,1,5,4,609,2.79357798165138,3,1.45215911563777,4,1,1,4,3
329,금바골,86,5,1,5,4,285,3.31395348837209,3,1.09184746258697,1,3,3,4,1
330,황새골(2),200,5,1,5,4,561,2.805,3,1.02321796309486,5,3,2,4,2
331,작은숫터골,206,5,1,5,4,630,3.05825242718447,3,1.11324979287178,1,3,2,4,2
332,도심,197,5,1,5,4,534,2.71065989847716,3,1.01388235636799,5,2,2,3,1
333,갈곡,8,2,4,5,1,36,4.5,4.5,0.5,4,4,4,5,1
334,비룡산,112,5,1,5,4,416,3.71428571428571,4,0.985869552988732,1,4,3,4.5,1.5
335,전나무골(2),196,5,1,5,4,504,2.57142857142857,3,1.13389341902768,5,2,2,3,1
336,새목골,183,5,1,5,4,500,2.73224043715847,3,1.0186237941425,5,3,2,3,1
